,Unnamed: 0,Unnamed: 0.1,Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time
25,25,25,005-000000065,224.0,5.0,Department of Agriculture,Enterprise Shared Services,1945.0,,FY2012 Operations.,FY2012 Operations expenses.,01/10/2011,30/09/2012,,,16.498,0.0,26/09/2011,12:26:32
26,26,26,005-000001870,225.0,5.0,Department of Agriculture,Farm Program Modernization (MIDAS) #097,1676.0,,Initial Operating Capability (IOC) Deployment,"IOC Release 1 acquisition and detailed planning will occur in FY11 Q3-Q4. Releases will follow SAP ASAP methodology (project prep, blueprint, realization, final prep and go live).",01/07/2011,30/09/2012,,,119.099001,122.21848600000001,28/02/2012,11:25:27
27,27,27,005-000001729,226.0,5.0,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1684.0,,AGxEDCx,Improve FAS information technology (IT) infrastructure and security by restructuring and transitioning FAS information technology services to management by the Office of the Chief Information Officer (OCIO).,20/07/2011,19/07/2012,,,7.276,7.276,28/12/2011,09:29:28
28,28,28,005-000001729,226.0,5.0,Department of Agriculture,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)",1685.0,,O&M,Provide IT infrstrucutre and computing platform.,01/10/2011,30/09/2012,,,16.248,16.248,28/12/2011,09:29:28
29,29,29,005-000001425,227.0,5.0,Department of Agriculture,Financial Management Modernization Initiative (FMMI),1969.0,,FMMI Deployment 3,"Deployment of Marketing and Regulatory Programs (MRP), Natural Resources Conservation Service (NRCS).",01/10/2011,31/03/2012,31/03/2012,31/03/2012,1.8111380000000001,6.777,30/06/2012,14:57:47
30,30,30,005-000001425,227.0,5.0,Department of Agriculture,Financial Management Modernization Initiative (FMMI),2937.0,,FMMI Deployment 3 Wave 1,Deployment and Stablization of Natural Resources Conservation Service (NRCS).,02/04/2012,31/05/2012,31/05/2012,31/05/2012,1.601,2.184,01/08/2012,13:22:28
31,31,31,005-000001425,227.0,5.0,Department of Agriculture,Financial Management Modernization Initiative (FMMI),3221.0,,FMMI Deployment 3 Wave 2,"Testing, Deployment, and Stabilization of Forest Service (FS).",01/06/2012,31/12/2012,,,5.09,5.09,30/06/2012,14:57:46
32,32,32,005-000001425,227.0,5.0,Department of Agriculture,Financial Management Modernization Initiative (FMMI),3261.0,,FMMI Deployment 3 Wave 2,"Testing, Deployment, and Stabilization of Forest Service (FS).",01/06/2012,31/12/2012,31/08/2012,31/08/2012,5.09,5.09,01/08/2012,13:22:28
33,33,33,005-000001718,228.0,5.0,Department of Agriculture,FNCS IT Infrastructure,1097.0,,FNCS IT Infrastructure Operations and Maintenance FY2012,FNCS IT Infrastructure Operations and Maintenance Activities for FY2012.,01/10/2011,30/09/2012,,,21.045460000000002,21.045495000000006,01/08/2012,13:22:11
34,34,34,005-000001496,229.0,5.0,Department of Agriculture,FPA-P2 - Fire Program Analysis System - Phase 2,1740.0,,FPA-P2 - Fire Program Analysis System - Phase 2,The purpose of the Fire Program Analysis system is to provide managers with acommon interagency process for strategic fire management planning and budgeting. It will beused to evaluate the effectiveness of alternative fire management strategies to support landmanagement goals and objectives.,01/01/2005,01/10/2020,31/03/2012,31/03/2012,0.735925,0.735925,30/01/2012,11:12:16
35,35,35,005-000000083,230.0,5.0,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1939.0,,Desktop GSS,Desktop General Support Systems.,01/10/2006,30/09/2018,,,11.440999999999999,11.440999999999999,28/02/2012,11:27:27
36,36,36,005-000000083,230.0,5.0,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1940.0,,Data Warehouse GSS,Data Warehouse General Support Systems.,01/10/2006,30/09/2018,,,11.440999999999999,11.440999999999999,28/02/2012,11:27:27
37,37,37,005-000000083,230.0,5.0,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1941.0,,Enterprise GSS,Enterprise General Support Systems.,01/10/2006,30/09/2018,,,11.442,11.442,28/02/2012,11:27:27
38,38,38,005-000000083,230.0,5.0,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1942.0,,FPS GSS,Financial Processing Center General Support System.,01/10/2006,30/09/2018,,,11.440999999999999,11.440999999999999,28/02/2012,11:27:27
39,39,39,005-000000083,230.0,5.0,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1943.0,,HR GSS,Human Resources General Support Systems.,01/10/2006,30/09/2018,,,11.440999999999999,11.440999999999999,28/02/2012,11:27:27
40,40,40,005-000000083,230.0,5.0,Department of Agriculture,Public Health Data Communications Infrastructure System (PHDCIS),1944.0,,Network GSS,Network General Support Systems.,01/10/2006,30/09/2018,,,5.6560000000000015,5.6560000000000015,28/02/2012,11:27:28
41,41,41,005-000002148,231.0,5.0,Department of Agriculture,FSIS Public Health Information Consolidation Projects (PHICP),1746.0,,Public Health Information System,"Designed to integrate data from all agency systems and program areas for use as a tool in making the most informed decisions about inspection, sampling, policy and other food safety activities to protect public health.",27/09/2007,30/12/2018,21/09/2012,21/09/2012,0.00225,0.00225,28/02/2012,11:24:53
42,42,42,005-999991841,234.0,5.0,Department of Agriculture,Human Resources Line of Business:  Service Center,1769.0,,WebTA,DME WebTA.,01/06/2011,29/02/2012,29/02/2012,29/02/2012,16.374000000000002,9.885,28/02/2012,14:17:14
43,43,43,005-999991841,234.0,5.0,Department of Agriculture,Human Resources Line of Business:  Service Center,1770.0,,EmpowHR Migration,EmpowHR Migration.,01/06/2011,29/02/2012,29/02/2012,29/02/2012,1071.255,382.801,28/02/2012,14:17:14
44,44,44,005-000002328,235.0,5.0,Department of Agriculture,IBS - Incident Business System,1767.0,,Provision of O&M Services,Provides services required to meet objectives of investment.,01/10/2011,30/09/2012,,,2.7036,2.7036,23/09/2011,18:22:03
45,45,45,005-000000039,236.0,5.0,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1099.0,,eAuthentication,This project will adopt and implement a Single Sign On (SSO) user access management using Oracle Enterprise Single Sign On Suite and PRISM SSO enhancement. This will provide users with a unified sign on and authentication across all IAS enterprise resources.,14/02/2011,30/12/2011,30/12/2011,17/05/2012,0.7,0.7,30/06/2012,14:58:03
46,46,46,005-000000039,236.0,5.0,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1101.0,,FMMI Conversion,The FMMI Conversion project will transfer agencies currently interfacing to the old FFIS financial accounting system to the new enterprise-wide FMMI financial system.,15/08/2011,30/12/2011,30/12/2011,31/10/2012,0.15,0.15,28/02/2012,14:31:34
47,47,47,005-000000039,236.0,5.0,Department of Agriculture,Integrated Acquisition System (IAS) (OPPM),1102.0,,Oracle Discoverer,Oracle Discoverer will provide much needed reporting capabilities for IAS users to gain a full end to end view of the acquisition cycle.,03/10/2011,30/03/2012,30/03/2012,21/05/2012,0.35,0.35,30/06/2012,14:58:03
48,48,48,005-000000047,237.0,5.0,Department of Agriculture,Integrated Program Accounting System (IPAS),1104.0,,IPAS Operations and Maintenance FY2012,IPAS Operations and Maintenance Activities for FY2012.,01/10/2011,30/09/2012,,,8.210163,8.210172,01/08/2012,13:23:00
49,49,49,005-000002152,238.0,5.0,Department of Agriculture,NASS Survey Processing System,1105.0,,Survey Processing Systems operations.,Maintaining the steady state system used to generate approximately 500 reports annually. There are no projects spanning fiscal years and the investment will be sunset in BY-13.,30/09/2004,30/09/2013,,,3.412,3.412,01/08/2012,13:23:05
50,50,50,005-000001659,239.0,6.0,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),672.0,,FISMA Compliance FY12.,"Anything related to FISMA compliance: C&A, POA&M.",01/09/2011,30/09/2012,31/03/2012,01/09/2012,0.03,0.03,28/02/2012,11:22:25
51,51,51,005-000001659,239.0,5.0,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),673.0,,FTE Support FY12.,FTE IT application support activities.,07/02/2011,30/09/2012,31/03/2012,31/03/2012,0.7,0.7,28/02/2012,11:22:25
52,52,52,005-000001659,239.0,5.0,Department of Agriculture,Animal Disease Traceability Information System (ADTIS),674.0,,Acquisition Support FY12.,"Acquisition activities that incudes help desk, but not security.",01/09/2011,30/09/2012,30/09/2012,30/09/2012,1.0170000000000001,1.0170000000000001,31/05/2012,14:20:14
53,53,53,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1106.0,,NRM Customer Relations Operations,"This represents the Major Customer Relations Operations that the NRM Staff carry out on an annual basis in support of the NRM Vision and annual program of work including: Account Management, Change Management, Help Desk Operations, Communications, Training, and Leadership activities.",01/10/2011,30/09/2012,,,4.8839999999999995,4.8839999999999995,30/11/2011,06:10:30
54,54,54,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1107.0,,NRM Data Center Operations,This represents the major Data Center Operations that the NRM staff carry out on an annual basis in support of the NRM business applications and the NRM Steering Commitee approved annual program of work including: Architectural Direction; Data Center Operations (systems & database); Security Operations; Program Management Support; and Leadership Activities.,01/10/2011,30/09/2012,,,7.018,7.018,30/11/2011,06:10:30
55,55,55,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1108.0,,"NRM Release 5.7 (February, 2012)",NRM Maintenace Release 5.7. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/10/2011,29/02/2012,29/02/2012,29/02/2012,6.9579999999999975,6.9579999999999975,30/04/2012,11:15:04
56,56,56,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1109.0,,"NRM Release 5.8 (May, 2012)",NRM Maintenace Release 5.8. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/03/2012,31/05/2012,31/05/2012,31/05/2012,4.175,4.175,30/04/2012,11:15:04
57,57,57,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1110.0,,"NRM Release 5.9 (August, 2012)",NRM Maintenace Release 5.9. Includes  Program of Work proposals identified as critical by the NRM Extended Team and approved by the NRM Steering Commitee.  POW proposals are documented and available for review at  http://fsteams.fs.fed.us/sites/NRM-POW/default.aspx     At the time of this OMB 300 submission the assignment of POW proposals to specific NRM Releases were still being finalized.,01/06/2012,31/08/2012,,,4.175,4.175,22/09/2011,14:32:48
58,58,58,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1111.0,,NRM Release 6.0 (September 2012),Minor NRM Release to address FY2012 Year End Reporting.,01/09/2012,30/09/2012,,,1.391,1.391,22/09/2011,14:32:49
59,59,59,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1112.0,,FY2011 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's  performance measures to the USFS Performance Accountability System (PAS).  Initiate next year's Performance measures to PAS.,01/10/2011,31/12/2011,31/12/2011,29/02/2012,0.2,0.2,30/03/2012,07:09:11
60,60,60,005-000002223,242.0,5.0,Department of Agriculture,NRM - Natural Resource Manager,1113.0,,FY2012 Year End Reporting,Year end reporting includes rolling over performance reports to the year end section of the Corporate Data Warehouse; the creation of new annual performance reports; rolling over year end reports to the almanac; Feed this year's performance measures to the USFS Performance Accountability System (PAS). Initiate next year's Performance measures to PAS.,01/08/2012,31/12/2012,,,0.3,0.3,22/09/2011,14:32:49
61,61,61,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1686.0,,Data Centers - Agency Availability and DR Capacity Buildout: Planning,"Building up Infrastructure such as network, storage network, backup and core systems (DNS, Active Directory, etc.) to support applications coming into the environment.",15/06/2012,14/12/2012,,,0.540347,0.540347,30/01/2012,11:12:21
62,62,62,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1687.0,,Data Centers - Web Farm Hardware Refresh: Planning,"This project replaces Web Farm (and other centralized) hardware based on a regular and ongoing (i.e., predetermined) lifecycle.",15/06/2012,14/12/2012,,,0.835822,0.835822,30/01/2012,11:12:21
63,63,63,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1688.0,,Data Centers - Web Farm Hardware Refresh: Acquisition Phase 1,"This project replaces Web Farm (and other centralized) hardware based on a regular and ongoing (i.e., predetermined) lifecycle.",01/08/2012,31/01/2013,,,2.163072,2.163072,30/01/2012,11:12:21
64,64,64,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1689.0,,Enterprise Management - Network Capacity and Performance Monitoring: Acquisition,"This project builds upon existing infrastructure to be better able to monitor, store, and analyze network activity and traffic in order to more efficiently troubleshoot and better forecast capacity thresholds.",01/08/2012,30/11/2012,,,0.108154,0.108154,30/01/2012,11:12:21
65,65,65,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1690.0,,Enterprise Management - NOC: Planning,"The purpose of this project will be to improve current monitoring, change, and configuration management capabilities within IT enterprise systems. These systems include CCE, Web Farm 2 & 3, and the Enterprise Collaboration Systems. The deployment of these System Center Tools will provide End-to-End Service Management for the Enterprise Tier in the form of Server (Windows & Non-Windows) management and Application Management.",01/08/2012,31/01/2013,,,0.689479,0.689479,30/01/2012,11:12:21
66,66,66,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1691.0,,Enterprise Management - ITSM: Acquisition - Phase 1,"An ITSM tool is imperative to being an efficient IT service provider. Following the ITIL fundamentals, an ITSM tool primarily serves as the Help Desk, with links into Incident and Problem Management processes.",01/08/2012,31/01/2013,,,1.6223040000000002,1.6223040000000002,30/01/2012,11:12:21
67,67,67,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1692.0,,Enterprise Management - Perimeter Security: Planning,This project will deploy Intrusion Prevention Devices at the SCA Gateway to allow ITS to control known attacks and detect ongoing security threats.,15/06/2012,14/12/2012,,,0.6272909999999999,0.6272909999999999,30/01/2012,11:12:21
68,68,68,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1693.0,,Enterprise Management - Perimeter Security: Acquisition,Functional Description: This project will deploy Intrusion Prevention Devices at the SCA Gateway to allow ITS to control known attacks and detect ongoing security threats. The SCA Gateway is the location between the USDA backbone and the SCA Backbone.,15/08/2012,31/01/2013,,,1.2329510000000001,1.2329510000000001,30/01/2012,11:12:21
69,69,69,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1694.0,,Enterprise Management - Network Access Control: Planning,"Currently, there are no logical access controls to prevent any unauthorized person or infected machine from connecting to the SCA network. This project addresses this security weaknesses within the ITS field service centers and large offices.",15/08/2012,31/01/2013,,,0.541523,0.541523,30/01/2012,11:12:21
70,70,70,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1695.0,,End User Devices - Thin Client: Planning,"Thin Client computing is a server-centric computing model in which the application software, data, and CPU power resides in network servers rather that on client computers. This computing model has several advantages such as improved security, lower support at the local site, and a longer useful life for the client devices.  This project shifts 6,000 users from traditional desktop PCs to thin client computing devices connected to centralized computing resources.",01/08/2012,31/01/2013,,,1.39304,1.39304,30/01/2012,11:12:21
71,71,71,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1696.0,,End User Devices - Enterprise User Mobility: Planning,"Mobility support to include wireless and mobility endpoint (Windows mobile, Blackberry, etc.).",15/06/2012,14/12/2012,,,0.182509,0.182509,30/01/2012,11:12:21
72,72,72,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1697.0,,End User Devices - End User Workstation Refresh: Acquisition - Phase 1,"Replacing the Service Center Agency desktops, laptops, and tablets based on a lifecycle management strategy and regular refresh cycle.",15/06/2012,30/11/2012,,,3.2446080000000004,3.2446080000000004,30/01/2012,11:12:21
73,73,73,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1698.0,,Office Environment - Network Acceleration: Planning,This project will deploy network acceleration devices to the field offices in order to address the escalating need for additional network bandwidth as more services are delivered over the network.,15/06/2012,14/09/2012,,,0.144069,0.144069,30/01/2012,11:12:21
74,74,74,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1699.0,,Office Environment - Network Acceleration: Acquisition - Phase 1,This project will deploy network acceleration devices to the field offices in order to address the escalating need for additional network bandwidth as more services are delivered over the network.,01/08/2012,31/01/2013,,,6.489216000000001,6.489216000000001,30/01/2012,11:12:21
75,75,75,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1700.0,,Office Environment - File Service Centralization (Current Capacity): Planning,Replace the aging Service Center Agency file and print servers with a centralized storage infrastructure taking advantage of network acceleration technologies.,15/06/2012,14/12/2012,,,0.115711,0.115711,30/01/2012,11:12:21
76,76,76,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1701.0,,Office Environment - File Service Centralization (Current Capacity): Acquisition - Phase 1,Replace the aging Service Center Agency file and print servers with a centralized storage infrastructure taking advantage of network acceleration technologies.,01/08/2012,31/01/2013,,,0.540768,0.540768,30/01/2012,11:12:22
77,77,77,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1702.0,,Office Environment - Domain Controller Backup: Planning,This project will deploy an enterprise disk to disk backup solution across the WAN for field offices that will still retain local servers.,15/06/2012,14/12/2012,,,0.047588,0.047588,30/01/2012,11:12:21
78,78,78,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1703.0,,Office Environment - Domain Controller Backup: : Acquisition,This project will deploy an enterprise disk to disk backup solution across the WAN for field offices that will still retain local servers.,01/08/2012,31/01/2013,,,0.547257,0.547257,30/01/2012,11:12:22
79,79,79,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1704.0,,Office Environment - eFax: Planning,This project is to implement an Electronic Fax service within USDA.,15/06/2012,14/12/2012,,,0.146007,0.146007,30/01/2012,11:12:21
80,80,80,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1705.0,,Office Environment - eFax: Acquisition,This project is to implement an Electronic Fax service within USDA.,01/08/2012,31/01/2013,,,0.146007,0.146007,30/01/2012,11:12:22
81,81,81,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1706.0,,Office Environment - Managed Print Services: Planning,Provide printing support services through a company that specializes in that function.,15/06/2012,14/12/2012,,,0.743556,0.743556,30/01/2012,11:12:22
82,82,82,005-000002321,243.0,5.0,Department of Agriculture,Optimized Computing Environment (OCE),1707.0,,Office Environment - Alternative Network Connectivity: Planning,This project will examine the feasibility of using alternatives to traditional Frame-Relay leased lines to provide Wide Area Network service to USDA field offices at a reduced cost.,15/06/2012,14/12/2012,,,0.005408,0.005408,30/01/2012,11:12:22
