Investment ID,Business Case ID,Investment Title
006-000803100,927,USPTO Fee Processing Next Generation (FPNG)
006-000801100,928,USPTO Network and Security Infrastructure
006-000803200,929,USPTO Patents End-to-End: Software Engineering (PE2E-SE)
006-000803400,930,USPTO Trademark Next Generation (TM NG)
006-000401400,931,"Census - 2020 Decennial Census Research and Testing Phase, FY2012-14"
006-000401700,933,Census IT Infrastructure
006-000552000,1080,BIS Commerce USXPORTS Exporter Support System (CUESS)
006-000051500,1081,Commerce Business Application Solutions (BAS)
006-000656500,1082,ITA Export.Gov NextGen (ENG)
006-999990530,1135,BusinessUSA
007-000000049,13,Armed Forces Health Longitudinal Technology Application
007-000000155,14,GLOBAL COMBAT SUPPORT SYSTEM - MARINE CORPS
007-000000178,15,DEFENSE ENTERPRISE ACCOUNTING AND MANAGEMENT SYSTEM
007-000000186,16,NAVY ENTERPRISE RESOURCE PLANNING (ERP)
007-000000057,17,MULTIFUNCTIONAL INFORMATION DISTRIBUTION SYSTEM
007-000000192,18,Product Tailoring Warfighter Applications
007-000000314,19,GENERAL FUND ENTERPRISE BUSINESS SYSTEM
007-000000342,20,"Joint Tactical Radio System (JTRS) - HANDHELD, MANPACK, AND SMALL FORM FIT RADIOS (HMS)"
007-000000483,22,EXPEDITIONARY COMBAT SUPPORT SYSTEM
007-000000510,25,EXECUTIVE INFORMATION/DECISION SUPPORT
007-000000594,26,DEFENSE INFORMATION SYSTEM FOR SECURITY
007-000000595,27,DEFENSE INFORMATION SYSTEM NETWORK
007-000000613,28,Defense Medical Logistics Standard Support
007-000000880,30,GLOBAL BROADCAST SERVICE
007-000000881,31,GLOBAL COMMAND AND CONTROL SYSTEM- JOINT
007-000000884,33,GLOBAL DECISION SUPPORT SYSTEM
007-000001046,34,Air and Space Operations Center - Weapon System
007-000000882,48,GLOBAL COMBAT SUPPORT SYSTEM-JOINT
007-000001911,50,Theater Battle Management Core System
007-000001913,51,THEATER MEDICAL INFORMATION PROGRAM-Joint
007-000001794,52,STANDARD PROCUREMENT SYSTEM
007-000002180,53,INSTALLATION INFORMATION INFRASTRUCTURE MODERNIZATION PROGRAM
007-000002213,54,"MANEUVER CONTROL SYSTEM, V6.4"
007-000002166,55,Advanced Field Artillery Tactical Data System
007-000003146,56,Consolidated Afloat Networks Enterprise Service
007-000003538,57,Next Generation Enterprise Network
007-000004035,58,"DEFENSE ENROLLMENT ELIGIBILITY REPORTING SYSTEM, REAL-TIME AUTOMATED PERSONNEL IDENTIFICATION SYSTEM, AND COMMON ACCESS CARD"
007-000005070,59,GLOBAL COMBAT SUPPORT SYSTEM - ARMY
007-000006046,60,GLOBAL COMMAND AND CONTROL SYSTEM - MARITIME (GCCS-M)
007-000003855,61,Virtual Interactive Processing System
007-000006189,63,JOINT PRECISION APPROACH AND LANDING SYSTEM
007-000006190,64,JTRS - GROUND MOBILE RADIOS
007-000006170,65,Mission Planning Systems (Increment III)
007-000006191,66,AF NC3-MEECN Modernization
007-000006312,69,DEFENSE TRAVEL SYSTEM
007-000006298,71,LOGISTICS MODERNIZATION PROGRAM
007-000006491,73,GLOBAL COMMAND AND CONTROL SYSTEM - ARMY
007-000006368,74,NAVSTAR GLOBAL POSITIONING SYSTEM (GPS)
007-000006388,75,Tactical Data Link System
007-000006524,77,Joint Tactical Radio System (JTRS) - Airborne and Maritime/Fixed Station (AMF)
007-000006555,78,DEPLOYABLE JOINT COMMAND AND CONTROL (DJC2)
007-000006965,80,NET CENTRIC ENTERPRISE SERVICES
007-000006587,82,Joint Tactical Radio System (JTRS) - NETWORK ENTERPRISE DOMAIN (NED)
007-000006946,83,COMMON AVIATION COMMAND AND CONTROL SYSTEM
007-000001854,86,Battle Control System Fixed
007-000000599,899,Integrated Personnel and Pay System - Army
007-000001005,900,Biometrics Enabling Capability
007-000001009,901,Joint Personnel Identification System
007-000001202,902,Warfighter Information Network - Tactical Increment 1
007-000001208,903,Warfighter Information Network - Tactical Increment 2
007-000001242,904,Warfighter Information Network - Tactical Increment 3
007-000001555,905,Joint Battle Command-Platform
007-000001017,906,Information Transport System Increment 1
007-000001078,909,Air Force Intranet Increment 2
007-000001104,910,Base Information Infrastructure
007-000001152,911,Voice Switching System
007-000001179,912,Integrated Strategic Planning and Analysis Network - Increment 2
007-000001184,913,Mission Planning System Increment 4
007-000001550,914,Integrated Strategic Planning and Analysis Network - Increment 3
007-000003947,915,Air Force-Integrated Personnel and Pay System (AF-IPPS)
007-000001042,917,Defense Occupational and Environmental Health Readiness System - Industrial Hygiene
007-000001243,918,Teleport Generation 1/2
007-000001248,919,Teleport Generation 3
007-000001791,921,Energy Convergence
007-000001099,922,Air Force Intranet Increment 3
007-000003945,923,JSpOC Mission System
007-000004122,924,Electronic Health Record Way Ahead
007-000000688,1114,DISTRIBUTED LEARNING SYSTEM
007-000001640,1115,RESERVE COMPONENT AUTOMATION SYSTEM
007-000001667,1116,Integrated Data Environment/Global Transportation Network Convergence
007-000005090,1118,DLA Enterprise Business System
007-000006040,1119,ARMY ACCESSIONS - INTEGRATED AUTOMATION ARCHITECTURE
007-000006430,1120,KNOWLEDGE MANAGEMENT
007-000001372,1122,NAVY TACTICAL COMMAND SUPPORT SYSTEM
007-000001699,1123,SHIPBOARD MANAGEMENT INFORMATION SYSTEM
007-000000573,1124,DEFENSE CIVILIAN PERSONNEL DATA SYSTEM
007-000001191,1126,MEPCOM Integrated Resource System
009-000001422,184,ACF Expanded Federal Parent Locator Service (OCSE)
009-000001462,186,ACF GrantSolutions.gov / Grants Administration Tracking Evaluation System (GATES) - Grants Center of Excellence
009-000001386,257,CDC OID NCIRD Vaccine Tracking System (VTrckS)
009-000001384,260,CDC National Select Agent Registry (NSAR)
009-000001372,261,CDC PHIN: BioSense
009-000001378,262,CDC PHIN: National Electronic Disease Surveillance System
009-000163785,263,CMS 5010 Conversion Initiative
009-000006796,273,CMS Encounter Data
009-000001465,274,CMS Health Care Quality Improvement System (QIES)
009-000001468,275,CMS Healthcare Integrated General Ledger Accounting System (HIGLAS)
009-000201062,276,CMS Healthcare Quality End Stage Renal Disease (ESRD) Systems
009-000004417,277,CMS ICD-10 Initiative
009-000001472,279,CMS Integrated Data Repository (IDR)
009-000004611,281,CMS Interoperability & Standardization - Provider Enrollment (PECOS)
009-000000714,284,CMS Medicaid Data Systems
009-000002454,285,CMS Medicare Appeals System (MAS)
009-000005234,287,CMS Medicare Integrity Program Modernization-One PI System
009-000005345,298,FDA CDER Automated Drug Information Management System
009-000005318,299,FDA ORA Automated Laboratory Management
009-000005354,301,FDA OC-OIM Information and Computing Technologies for the 21st Century (ICT21)
009-000005315,302,FDA CDER MedWatch Plus
009-000005317,310,FDA ORA Mission Accomplishments and Regulatory Compliance Services
009-000006267,317,FDA OC-OIM Operational Infrastructure
009-000005316,318,FDA ORA Regulatory Business Information Services
009-000005323,322,FDA OC User Fee and Financial Reporting Systems
009-999991400,330,Federal Health Architecture
009-000001397,332,HHS Unified Financial Management System: Modernization Program
009-000000706,333,HRSA - OIT Electronic Handbooks (EHBs)
009-000001362,336,IHS Resource and Patient Management System (RPMS) - Maintenance & Enhancements
009-000001408,337,NIH Business Intelligence System (NBIS)
009-000001405,339,NIH CC Clinical Research Information System (CRIS)
009-000006338,340,NIH IT Infrastructure
009-000000833,341,NIH NCI Cancer Therapy Evaluation Program (CTEP)
009-000001410,342,NIH OD Electronic Research Administration (eRA)
009-000001413,343,NIH OD NIH Business System (NBS)
009-000001479,345,OS ASA Debt Management and Collection System (DMCS)
009-000003888,346,OS ASA Enterprise Human Resources and Personnel (EHRP)
009-000001482,349,OS ASA Payment Management System (PMS)
009-000004062,350,OS ONC Nationwide Health Information Network (NwHIN) Exchange
009-000006779,354,Secure One HHS
009-000001361,355,HRSA - BHPr National Practitioner Data Bank (NPDB)/Healthcare Integrity and Protection Data Bank (HIPDB)
009-000267389,961,ACA Consolidated IT Investment (formerly CMS CCIIO Healthcare Insurance Exchange IT Investment (HIX))
009-000236620,991,CMS HITECH (Health Information Technology for Economic & Clinical Health)
009-000267388,1001,CMS CCIIO HealthCare.GOV Plan Finder IT Investment
009-000001380,1086,CDC OID National Healthcare Safety Network (NHSN)
009-000004093,1087,Continued Implementation of HSPD-12 (formerly known as IAM@HHS)
009-000005797,1088,OS ASPA HHS Web Management Investment
009-000276109,1089,HRSA - BPHC Bureau of Primary Health Care Management Information System (BHCMIS)
009-000281361,1090,CMS National Fraud Prevention Program
009-000281532,1091,CMS Quality Program
009-000281783,1094,CMS Accountable Care Organizations
009-000282322,1096,CMS Physician Feedback Program
010-000000066,644,BIA - Loan Management and Accounting System (LOMAS)
010-000000077,646,BIA - Trust Asset Accounting Management System (TAAMS)
010-000000083,647,BIE - Native American Student Information System (NASIS)
010-000000156,652,BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)
010-000000299,656,BOR1-RMSS (Reclamation Mission Support Services)
010-000000987,657,USGS - Hazards - Advanced National Seismic System (ANSS)
010-000001049,666,USGS - Water - National Water Information System (NWIS)
010-000001050,667,USGS - CSS - TNM Reengineering Project
010-000000316,673,DOI - Financial and Business Management System (FBMS)
010-000000319,674,"DOI - Incident Management, Analysis, and Reporting System (IMARS)"
010-000000368,676,DOI - National Fire Plan Operations and Reporting System (NFPORS)
010-999990382,683,E-DOI - Geospatial Line of Business (GeoLoB)
010-000000292,785,BOR1-GCPO SCADA (Grand Coulee Power Office Supervisory Control and Data Acquisition System)
010-000000294,786,BOR1-LCDCSS (Lower Colorado Dams Control Systems and Services)
010-000000363,787,DOI - Integrated Reporting of Wildland-Fire Information (iRWIn)
010-000001047,835,USGS - CLU - Land Satellites Data System (LSDS)
010-000000355,862,DOI - Infrastructure - Security Management
010-000000330,864,DOI - Infrastructure - End User Support
010-000000338,865,DOI - Infrastructure - IT Infrastructure Management Enabling Capabilities
010-000000357,866,DOI - Infrastructure - Telecommunications
010-000000342,868,DOI - Infrastructure - Mainframe / Server Support
011-000001126,426,JMD Unified Financial Management System (UFMS)
011-000003372,429,FBI Data Integration and Visualization System (DIVS)
011-000002503,430,FBI Digital Collection
011-000003373,432,FBI Guardian
011-000003024,434,FBI Law Enforcement National Data Exchange Program (NDEx)
011-000002016,435,FBI Law Enforcement Online (LEO)
011-000002616,437,FBI National Instant Criminal Background Check System (NICS)
011-000003211,441,FBI SENTINEL
011-000003177,442,FBI Terrorist Screening System (TSS)
011-000002909,443,FBI Top Secret/Sensitive Compartmented Information Operational Network (SCION)
011-000002501,858,FBI Combined DNA Index System (CODIS)
011-000002916,859,FBI Data Centers
011-000003457,938,FBI Next Generation Identification (NGI)
011-000002502,1052,FBI National Crime Information Center (NCIC)
011-000002705,1062,BOP SENTRY
012-000003470,88,OFCCP - Federal Contractor Compliance System
012-000003535,101,BLS - Industrial Prices Systems (IPS)
012-000001075,103,BLS - National Compensation Survey (NCS) Maintenance
012-000001025,105,EBSA - EFAST2
012-000002035,106,ETA - Unemployment Insurance Database Management System
012-000002055,109,OLMS - Electronic Labor Organization Reporting System (e.LORS)
012-000002575,115,OASAM - Departmental E-Business Suite (DEBS)
012-000003225,116,OASAM - HSPD-12
012-000003585,117,SOL - IT Modernization
012-000002045,121,ETA - Foreign Labor Certification Systems (FLCS)
012-000001010,122,ETA - Job Corps Student Pay Allotment Management Information System (SPAMIS)
012-000002085,123,MSHA - MSHA Standardized Information System (MSIS)
012-000001015,125,OCFO - DOL New Core Financial Management System (NCFMS)
012-000000001,126,ODEP - Disability.gov
012-000002005,127,OPA - Enterprise Communications Initiative
012-999990020,130,OASAM - Benefits.gov
012-000002630,131,OSHA - Information System (OIS)
012-000002015,132,OWCP - Integrated Federal Employees' Compensation System (iFECS)
012-000002265,183,OWCP - Energy Compensation System
012-000001055,278,BLS - Consumer Price Index (CPI) Maintenance
012-000005005,418,PBGC - Benefit Calculation and Valuation
012-000005004,624,PBGC - Risk Management Early Warning / Legal Matter Management
012-000005003,627,PBGC - Participant Services (Benefit Administration)
012-000005013,628,PBGC - IT Infrastructure
012-000005000,635,PBGC - Premium Accounting (PA)
012-000005001,641,PBGC - Consolidated Financial Systems
012-000003655,838,OASAM - Acquisition Management System (AMS)
012-000003645,839,OASAM - HR Line of Business Shared Service Center (HRLOB SSC)
012-000003595,844,DOL - IT Infrastructure Modernization (DITIM)
012-000003615,1047,OWCP - OWCP Workers' Compensation System
012-000000007,1128,WHD - Integrated Data Management System (IDMS)
014-000000012,718,A-LM - Integrated Logistics Management System
014-000000014,730,Travel Manager Program
014-000000018,734,Joint Financial Management System (JFMS)
014-000000024,736,Integrated Personnel Management System (IPMS)
014-000000029,742,Global Foreign Affairs Compensation System (GFACS)
014-000000329,743,Foreign Assistance Coordination and Tracking System (FACTS)
014-000000019,744,Electronic Medical Record (EMR)
014-000000039,1130,Application Services
014-000000026,1131,Data Center Services and Hosting
014-000000032,1132,Consular Systems Modernization
014-000000044,1133,"Deployment, Maintenance, and Refresh Services"
014-000000034,1134,Legacy Consular Systems
014-000000048,1136,Security/Cyber Security Services
014-000000043,1137,Enterprise Network and Bandwidth Services
015-000000046,498,Account Management Services (AMS)
015-000000034,500,Automated Standard Application for Payments (ASAP)
015-000000040,501,BSA IT Modernization
015-000000066,503,"Treasury Enterprise Identity, Credential and Access Management (TEICAM)"
015-000000051,506,Customer Account Data Engine 2 (CADE 2).
015-000000050,508,Debit Gateway
015-000000036,509,Deposit and Data Management (DDM)
015-000000012,512,e-Services (e-SVS)
015-000000026,514,FedDebt
015-000000039,519,FMS EFTPS (Electronic Federal Tax Payment System)
015-000000001,523,HR LoB - HR Connect
015-000000014,524,Individual Master File (IMF)
015-000000017,526,Integrated Customer Communication Environment (ICCE)
015-000000027,527,Integrated Financial System (IFS)
015-000000019,528,Integrated Submission and Remittance Processing System (ISRP)
015-000000056,533,IRS.GOV - Portal Environment
015-000000045,538,Modernized e-File (MeF)
015-000000004,542,Payment Application Modernization (PAM)
015-000000021,546,Service Center Recognition/Image Processing System (SCRIPS)
015-000000009,626,Current CADE
015-000000010,636,Electronic Fraud Detection System (EFDS)
015-000000044,637,Return Review Program (RRP)
015-000000018,639,Integrated Data Retrieval System (IDRS)
015-000000057,827,Over the Counter Channel Application (OTCnet)
015-000000060,829,Summary Debt Accounting Services (SDAS)
015-000000061,830,Wholesale Securities Services (WSS)
015-999990063,831,Franchise Financial & Administrative Services (FFAS)
015-000000062,846,Retail Securities Services (RSS)
015-999990064,847,Financial Management Line of Business
015-000000055,880,Information Reporting and Document Matching (IRDM)
015-000003501,1057,BPD End User Systems and Services
015-000003503,1058,BPD Telecommunications Systems and Support 
015-000003502,1059,BPD Mainframe and Servers Support and Services
015-000000350,1069,IRS Main Frames and Servers Services and Support (MSSS)
015-000000349,1070,IRS End User Systems and Services (EUSS)
015-000000348,1071,IRS Telecommunications Systems and Support (TSS)
015-000000341,1074,IT Infrastructure End User Services and Support (EUSS)
015-000000335,1079,Central Accounting and Reporting System
015-000000369,1127,Foreign Account Tax Compliance Act (FATCA)
016-000002139,495,Citizen Access Routing Enterprise through 2020-CARE 2020
016-000002125,553,DDS Automation
016-000002015,554,Financial Accounting System-FACTS
016-000002135,556,Telephone Systems Replacement Project-TSRP
016-000002045,557,Title II
016-000002146,586,Online Claims
016-000002250,587,Infrastructure - Data Center
016-000002252,588,Infrastructure - Office Automation
016-000002251,589,Infrastructure - Telecommunications
016-000002140,592,Intelligent Disability
016-000002141,630,Disability Case Processing System-DCPS
016-000002026,771,Interactive Video Teletraining-IVT
016-000002127,773,Medicare Support Activities (Medicare Modernization Act)
016-000002145,1054,Earnings Redesign
016-000002253,1056,National Support Center (Non-Major Infrastructure National Support Center)
018-000001140,802,Integrated Partner Management (IPM)
018-999993200,803,Budget Formulation and Execution Line of Business (BFE)
018-000001040,804,Integrated Support Service (ISS)
018-000002280,806,Integrated Postsecondary Education Data System (IPEDS)
018-000001060,810,Federal Student Aid Financial Management System (FSA FMS)
018-999991341,811,G5 - Grants Management (G5)
018-000001023,815,National Assessment of Educational Progress (NAEP)
018-000001031,818,Education Resources Information Center (ERIC)
018-000001018,820,ED Web
018-000001070,821,Contracts and Purchasing Support System (CPSS)
018-000003133,845,National Student Loan Database System (NSLDS)
018-000003116,849,Central Processing System (CPS)
018-000002370,873,Aid Data Mart (ADM) (formerly know as FPDM)
018-000003117,884,eCampus Based System
018-000003203,946,Common Origination and Disbursement (COD)
018-000000030,1064,Security Operations Center (SOC)
018-000000029,1066,Trusted Internet Connection (TIC)
018-000006011,1083,Information Assurance Enhancement/Cyber Watch
019-000000122,559,CF iManage
019-000001183,560,"Consolidated Infrastructure, Office Automation, and Telecommunications Program"
019-000000153,562,EE State Grant Administration
019-000000208,564,"EM HQ Integrated Planning, Accountability, and Budgeting System Information System (IPABS-IS)"
019-000000575,571,NNSA ASC LLNL Sequoia Platform
019-000000577,573,NNSA Enterprise Secure Network (ESN)
019-000000731,575,NNSA Y12 ERP
019-000000971,579,RL - BMS Site Wide Business Management System
019-000000976,580,RL - Records Management
019-000001122,583,"SR Contractor Business/Financial and Administrative Systems, CB/FAS (SR Contractor Business and Administrative (CBA) Systems)"
019-000001131,584,SR Mission Support Systems
019-000001144,585,WAPA CSO Cost Recovery BIDSS II
019-000000570,860,NETL Simulation-Based Engineering User Center (SBEUC)
019-000000573,861,NNSA ASC ACES Cielo Platform
019-000000134,1075,"Identity, Credential, and Access Management (ICAM)"
020-000016005,395,CDX - Central Data Exchange
020-000016026,398,EPASS - Environmental Protection Agency Personnel Access and Security System
020-000016240,400,ECMS - Enterprise Content Management System
020-000010126,401,FinRS - Financial Replacement System
020-000015010,402,ICIS - Integrated Compliance Information System
020-000013015,412,SEMS - Superfund Enterprise Management System
020-999996060,414,eRulemaking
021-142305975,3,FAAXX704: Automatic Dependent Surveillance-Broadcast (ADS-B)
021-432721618,338,FAAXX013: Aviation Surface Weather Observation Network (ASWON)
021-318879955,356,FAAXX032: Terminal Automation Replacement System (STARS)
021-002703942,357,FAAXX084: Instrument Flight Procedure Automation (IFPA)
021-211295869,358,FAAXX155: Next Generation Air/Ground Communications  (NEXCOM) Segment 1a
021-147277724,359,FAAXX159: Voice Switching and Control System (VSCS) Tech Refresh
021-089571105,361,FAAXX169: Wide Area Augmentation System (WAAS)
021-448268496,362,FAAXX216: Weather and Radar Processor (WARP)
021-006227212,363,FAAXX036: Terminal Primary Surveillance (TPS)
021-860081937,364,FAAXX248: Airport Surface Detection Equipment - Model X (ASDE-X)
021-541543830,365,FAAXX294: ATC Beacon Interrogator Replacement (ATCBI-6)
021-514765477,368,FAAXX504: En Route Automation Modernization (ERAM)
021-161006572,370,FAAXX600: Oceanic Automation System: Advanced Technologies and Oceanic Procedures (ATOP)
021-613828465,371,FAAXX603: Traffic Mgmt Advisor-Single Cntr (TMA)
021-826990043,373,FAAXX610: Aviation Safety Knowledge Management (ASKME/AVS)
021-996986499,374,FAAXX705: Traffic Flow Management (TFM)
021-620588994,375,FAAXX703: System Wide Information Management (SWIM)
021-189475443,376,FAAXX612: System Approach for Safety Oversight (SASO/AVS)
021-113910548,377,FAAXX709: Runway Status Lights (RWSL)
021-960419306,378,FAAXX710: Regulation and Certification Infrastructure for System Safety (RCISS/AVS)
021-130077684,379,FAAXX711: Data Communications NextGen Support (DataComm)
021-391613792,380,FAAXX713: NextGen NAS Voice System (NVS)
021-006081945,382,FAAXX732: NextGen Network Enabled Weather (NNEW)
021-734121151,383,FMCSA100: Application and Information Services Modernization
021-542850483,446,DOTXX070: DOT Common Operating Environment (DOT COE)
021-489256767,875,DOTXX128: Delphi Version One (originally part of OSTXX001: Delphi)
021-271423723,876,FAAXX800: NextGen R&D Trajectory Based Operations (TBO)
021-281304187,877,FAAXX801: NextGen R&D Arrivals/Departures at High Density Airport (HD)
021-244481932,878,FAAXX802: NextGen R&D Flexibility in Terminal Environment (FLEX)
021-191006983,894,FAAXX803: NextGen R&D Collaborative Air Traffic Management (CATM)
021-256003437,895,FAAXX806: NextGen R&D Demonstrations and Infrastructure
021-105731835,896,DOTXX129: Delphi Version Two (originally part of OSTXX001: Delphi)
021-351011071,897,FAAXX804: NextGen R&D Reduce Weather Impact (RWI)
021-316519385,898,FAAXX706: NextGen CATMT Workpackage Programs
021-435692236,939,FAAXX505: En Route Automation Modernization D Position Upgrade and System Enhancements
021-299431462,940,FAAXX725: Terminal Automation Modernization and Replacement Phase III (TAMR3)
021-097274776,941,FAAXX778: Next Generation Air/Ground Communications (NEXCOM) Segment 2
021-249700299,942,FAAXX030: Aeronautical Information Management Program (AIM)
021-233935436,943,FAAXX255: Alaskan Satellite Telecommunication Infrastructure (ASTI)
021-430297065,1076,NHTSA306: Modernization and Consolidation of EDS and FARS (ModCon)
021-270139098,1103,"DOTXX126: DOT Identity, Credential, and Access Management (ICAM)"
023-000003060,602,Cloud Computing
023-000003302,603,Data.gov
023-000001030,608,Federal Supply Service 19
023-000001020,609,GSA Advantage
023-000001151,610,GSA FMLOB Shared Service/Pegasys
023-000004030,611,GSA Office of Enterprise Infrastructure
023-000001226,613,Human Capital Information Technology Services
023-000003040,615,Identity Credential and Access Management (ICAM)
023-999990230,616,Integrated Acquisition Environment (IAE)
023-000001060,620,Regional Business Application (RBA)
023-000004190,622,IT Dashboard
023-000001290,623,eLease
023-000004130,634,Regulatory Information Service Center (ROCIS II)
023-000003319,893,Enterprise Acquisition System (EAS)
023-000004070,945,USA.gov Citizen Services
023-000004210,1030,Real Estate Across the US (REXUS)
023-000004200,1100,Performance Dashboards
023-000003303,1101,USAspending.gov
024-000009102,134,A&O - Homeland Security Information Network (HSIN)
024-000009104,135,A&O - Common Operational Picture (COP)
024-000005352,137,ICE - Detention and Removal Operations Modernization
024-000005439,138,ICE - IT Infrastructure (Atlas)
024-000005536,140,ICE - Enforcement Information Sharing (EIS)
024-000005397,141,ICE - DRO Electronic Health Record (EHR) System
024-000005363,143,ICE - Student and Exchange Visitor Information System (SEVIS)
024-000009508,145,NPPD - National Cybersecurity Protection System (NCPS)
024-000009520,146,NPPD - ISCP (Infrastructure Security Compliance) - CSAT
024-000009530,150,NPPD - FPS Risk Assessment and Management Program
024-000009560,151,NPPD - US-VISIT - Automated Biometric Identification System (IDENT)
024-000009561,152,NPPD - US-VISIT - Arrival and Departure Information System (ADIS)
024-000000591,154,DHS - Infrastructure Transformation Program (ITP)
024-000001226,155,DHS - HR IT
024-000001110,157,DHS - Homeland Secure Data Network (HSDN)
024-000007127,161,FEMA - NFIP Information Technology Systems & Services
024-999990130,165,FEMA - Disaster Management E-Government Initiative
024-999994100,166,FEMA - Disaster Assistance Improvement Plan (DAIP)
024-000007001,167,FEMA - Integrated Public Alert & Warning System (IPAWS)
024-000007333,168,FEMA - Logistics Supply Chain Management (LSCMS)
024-000005606,169,TSA - TSA Operating Platform (TOP)
024-000005628,170,TSA - Transportation Worker Identification Credential (TWIC)
024-000005624,171,TSA - Security Technology Integrated Program (STIP)
024-000005605,172,TSA - Secure Flight
024-000005664,173,TSA - Technology Infrastructure Modernization (TIM) Program
024-000005666,174,TSA - Information Technology Infrastructure Program (ITIP)
024-000005625,175,TSA - Hazmat Threat Assessment Program (HAZMAT)
024-000005651,177,TSA - FAMSNet (Common Operating Environment)
024-000005632,178,TSA - FAMS Mission Scheduling and Notification System (MSNS)
024-000005633,179,TSA - Crew Vetting
